From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)
PIP27_ARATH	P93004	PIP27_ARATH	Aquaporin PIP2-7 (Plasma membrane intrinsic protein 2-7) (AtPIP2;7) (Plasma membrane intrinsic protein 3) (At-PIP3) (Salt stress-induced major intrinsic protein)	PIP2-7 PIP3 SIMIP At4g35100 M4E13.150	Arabidopsis thaliana (Mouse-ear cress)	280	FUNCTION: Water channel required to facilitate the transport of water across cell membrane. May be involved in the osmoregulation in plants under high osmotic stress such as under a high salt condition. {ECO:0000269|PubMed:10102577, ECO:0000269|PubMed:9276952}.			TISSUE SPECIFICITY: Highly expressed in flowers, expressed at low levels in siliques, and at low level in leaves and roots (PubMed:10102577, PubMed:11806824). Highly levels in elongating cells in both roots and shoots (PubMed:25082856). {ECO:0000269|PubMed:10102577, ECO:0000269|PubMed:11806824, ECO:0000269|PubMed:25082856}.	plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; vacuole [GO:0005773]; mRNA binding [GO:0003729]; water channel activity [GO:0015250]
PLDD1_ARATH	Q9C5Y0	PLDD1_ARATH	Phospholipase D delta (AtPLDdelta) (PLD delta) (EC 3.1.4.4)	PLDDELTA At4g35790 F4B14.60	Arabidopsis thaliana (Mouse-ear cress)	868	FUNCTION: Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond to generate phosphatidic acids (PA). May be involved in PA accumulation in the dehydration stress response and in the transduction of hormonal and environmental signals to the microtubules cytoskeleton (PubMed:11549769, PubMed:11489173, PubMed:12881496). Prefers phosphatidylethanolamine to phosphatidylcholine as substrate (PubMed:12397060). Involved in H(2)O(2) and abscisic acid (ABA)-induced stomatal closure (PubMed:22589465, PubMed:22392280). Involved in nitric oxide (NO) signaling during stomatal closure (PubMed:22932846). Plays a positive role in ABA-promoted senescence (PubMed:23762411). Involved in basal defense and nonhost resistance (PubMed:23979971). {ECO:0000269|PubMed:11489173, ECO:0000269|PubMed:11549769, ECO:0000269|PubMed:12397060, ECO:0000269|PubMed:12881496, ECO:0000269|PubMed:22392280, ECO:0000269|PubMed:22589465, ECO:0000269|PubMed:22932846, ECO:0000269|PubMed:23762411, ECO:0000269|PubMed:23979971}.			TISSUE SPECIFICITY: Expressed in roots, leaves, stems, siliques and flowers (PubMed:11706190, PubMed:11489173). Strongly expressed in the vascular tissues of cotyledons and leaves under dehydration stress conditions (PubMed:11489173). Expression is higher in old leaves than in young leaves (PubMed:11706190). Expressed in leaves and guard cells (PubMed:22932846). The isoform 2 may not be present in siliques. {ECO:0000269|PubMed:11489173, ECO:0000269|PubMed:11706190, ECO:0000269|PubMed:22932846}.	plant cell papilla [GO:0090395]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; calcium ion binding [GO:0005509]; N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phospholipase D activity [GO:0004630]; phosphatidic acid metabolic process [GO:0046473]; phosphatidylcholine metabolic process [GO:0046470]; phospholipid catabolic process [GO:0009395]; positive regulation of abscisic acid-activated signaling pathway [GO:0009789]; programmed cell death [GO:0012501]; regulation of stomatal closure [GO:0090333]; response to cold [GO:0009409]
PLT5_ARATH	Q8VZ80	PLT5_ARATH	Polyol transporter 5 (Protein POLYOL TRANSPORTER 5) (AtPLT5) (Sugar-proton symporter PLT5)	PLT5 At3g18830 MVE11.10 MVE11.22	Arabidopsis thaliana (Mouse-ear cress)	539	FUNCTION: Plasma membrane broad-spectrum sugar-proton symporter. Mediates the uptake of linear polyols such as sorbitol, xylitol, erythritol or glycerol. Can transport the cyclic polyol myo-inositol and different hexoses, pentoses (including ribose), tetroses and sugar alcohols. {ECO:0000269|PubMed:15525644, ECO:0000269|PubMed:15598803}.			TISSUE SPECIFICITY: Highly expressed in roots. Expressed in vascular tissue of leaves, sepals and siliques. {ECO:0000269|PubMed:15525644, ECO:0000269|PubMed:15598803}.	plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; D-ribose transmembrane transporter activity [GO:0015591]; D-xylose transmembrane transporter activity [GO:0015148]; galactose transmembrane transporter activity [GO:0005354]; glucose transmembrane transporter activity [GO:0005355]; glycerol transmembrane transporter activity [GO:0015168]; mannitol transmembrane transporter activity [GO:0015575]; monosaccharide transmembrane transporter activity [GO:0015145]; myo-inositol transmembrane transporter activity [GO:0005365]; sorbitol transmembrane transporter activity [GO:0015576]; lateral root formation [GO:0010311]
POLR2_ARATH	Q9ZT94	POLR2_ARATH	Retrovirus-related Pol polyprotein from transposon RE2 (Retro element 2) (AtRE2) [Includes: Protease RE2 (EC 3.4.23.-); Reverse transcriptase RE2 (EC 2.7.7.49); Endonuclease RE2]	RE2 At4g02960 T4I9.16	Arabidopsis thaliana (Mouse-ear cress)	1456					aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]
POLX_TOBAC	P10978	POLX_TOBAC	Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]		Nicotiana tabacum (Common tobacco)	1328					aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; proteolysis [GO:0006508]
PSAA_SOLBU	Q2MII7	PSAA_SOLBU	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	Solanum bulbocastanum (Wild potato)	750	FUNCTION: PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin.				chloroplast thylakoid membrane [GO:0009535]; photosystem I [GO:0009522]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; photosynthesis [GO:0015979]
PSBA_AETCO	A4QJ96	PSBA_AETCO	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	Aethionema cordifolium (Lebanon stonecress)	353	FUNCTION: Photosystem II (PSII) is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1/D2 (PsbA/PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. {ECO:0000255|HAMAP-Rule:MF_01379}.				chloroplast thylakoid membrane [GO:0009535]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]
PSBE_AMBTC	Q70XY9	PSBE_AMBTC	Cytochrome b559 subunit alpha (PSII reaction center subunit V)	psbE	Amborella trichopoda	83	FUNCTION: This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. {ECO:0000255|HAMAP-Rule:MF_00642}.				chloroplast thylakoid membrane [GO:0009535]; photosystem II reaction center [GO:0009539]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; photosynthetic electron transport chain [GO:0009767]
PSBJ_EUCGG	Q49KY4	PSBJ_EUCGG	Photosystem II reaction center protein J (PSII-J)	psbJ	Eucalyptus globulus subsp. globulus (Tasmanian blue gum)	40	FUNCTION: One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. {ECO:0000255|HAMAP-Rule:MF_01305}.				chloroplast thylakoid membrane [GO:0009535]; photosystem II reaction center [GO:0009539]; photosynthesis [GO:0015979]
RAN2_ARATH	P41917	RAN2_ARATH	GTP-binding nuclear protein Ran-2 (Ras-related nuclear protein 2)	RAN2 At5g20020 F28I16.170	Arabidopsis thaliana (Mouse-ear cress)	221	FUNCTION: GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle (By similarity). {ECO:0000250}.		DEVELOPMENTAL STAGE: RAN2 transcripts mRNA interacts with PHIP1 to be distributed toward the cell plate during cytokinesis. {ECO:0000269|PubMed:18621982}.		cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; nuclear envelope [GO:0005635]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plastid [GO:0009536]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mRNA binding [GO:0003729]; protein import into nucleus [GO:0006606]; ribosomal subunit export from nucleus [GO:0000054]
RBL_JASNU	Q06RC1	RBL_JASNU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL JNC0612	Jasminum nudiflorum (Winter jasmine)	479	FUNCTION: RuBisCO catalyzes two reactions: the carboxylation of D-ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site. {ECO:0000255|HAMAP-Rule:MF_01338}.				chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]
RD19A_ARATH	P43296	RD19A_ARATH	Cysteine protease RD19A (EC 3.4.22.-) (Protein RESPONSIVE TO DEHYDRATION 19) (RD19)	RD19A At4g39090 F19H22.190	Arabidopsis thaliana (Mouse-ear cress)	368	FUNCTION: Probable thiol protease (By similarity). Required for RRS1-mediated resistance against Ralstonia solanacearum. Plays a crucial role as host factor for PopP2-triggered RRS1-mediated resistance. Interacts with the R.solanacearum type III effector PopP2 to form a nuclear complex that is required for activation of the RRS1-mediated resistance response (PubMed:18708476). {ECO:0000250|UniProtKB:P43297, ECO:0000269|PubMed:18708476}.				extracellular space [GO:0005615]; lytic vacuole [GO:0000323]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vacuole [GO:0005773]; cysteine-type endopeptidase activity [GO:0004197]; defense response to bacterium [GO:0042742]; proteolysis involved in protein catabolic process [GO:0051603]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]
RFS2_ARATH	Q94A08	RFS2_ARATH	Probable galactinol--sucrose galactosyltransferase 2 (EC 2.4.1.82) (Protein SEED IMBIBITION 2) (Raffinose synthase 2)	RFS2 RS2 SIP2 At3g57520 T8H10.120	Arabidopsis thaliana (Mouse-ear cress)	773	FUNCTION: Transglycosidase operating by a ping-pong reaction mechanism. Involved in the synthesis of raffinose, a major soluble carbohydrate in seeds, roots and tubers (By similarity). {ECO:0000250}.				plasmodesma [GO:0009506]; glycosyltransferase activity [GO:0016757]; raffinose alpha-galactosidase activity [GO:0052692]; raffinose catabolic process [GO:0034484]; response to oxidative stress [GO:0006979]
RFS6_ARATH	Q8RX87	RFS6_ARATH	Probable galactinol--sucrose galactosyltransferase 6 (EC 2.4.1.82) (Protein DARK INDUCIBLE 10) (Raffinose synthase 6)	RFS6 DIN10 RS6 At5g20250 F5O24.140	Arabidopsis thaliana (Mouse-ear cress)	749	FUNCTION: Transglycosidase operating by a ping-pong reaction mechanism. Involved in the synthesis of raffinose, a major soluble carbohydrate in seeds, roots and tubers (By similarity). {ECO:0000250}.		DEVELOPMENTAL STAGE: Expressed in 24 hours imbibed seeds and during leaf senescence. {ECO:0000269|PubMed:11240919}.		galactinol-sucrose galactosyltransferase activity [GO:0047274]; carbohydrate metabolic process [GO:0005975]
RK12_NICSY	P36688	RK12_NICSY	50S ribosomal protein L12, chloroplastic (CL12)		Nicotiana sylvestris (Wood tobacco) (South American tobacco)	186					chloroplast [GO:0009507]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
RK20_PANGI	Q68RY3	RK20_PANGI	50S ribosomal protein L20, chloroplastic	rpl20 PSC0704	Panax ginseng (Korean ginseng)	128	FUNCTION: Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit. {ECO:0000255|HAMAP-Rule:MF_00382}.				chloroplast [GO:0009507]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
RM02_ARATH	P93311	RM02_ARATH	60S ribosomal protein L2, mitochondrial	RPL2 AtMg00560	Arabidopsis thaliana (Mouse-ear cress)	349					mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]
RPOC2_JASNU	Q06RE1	RPOC2_JASNU	DNA-directed RNA polymerase subunit beta'' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta'') (RNA polymerase subunit beta'')	rpoC2 JNC0181	Jasminum nudiflorum (Winter jasmine)	1397	FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000255|HAMAP-Rule:MF_01324}.				chloroplast [GO:0009507]; DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
RR16_ATRBE	Q8S8Y5	RR16_ATRBE	30S ribosomal protein S16, chloroplastic	rps16	Atropa belladonna (Belladonna) (Deadly nightshade)	88					chloroplast [GO:0009507]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
RT03_PETHY	Q04716	RT03_PETHY	Ribosomal protein S3, mitochondrial	YRPS3	Petunia hybrida (Petunia)	562					mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
RT07_ARATH	P92557	RT07_ARATH	Ribosomal protein S7, mitochondrial	RPS7 AtMg01270; At2g07696	Arabidopsis thaliana (Mouse-ear cress)	148	FUNCTION: One of the primary rRNA binding proteins, it binds directly to 18S rRNA where it nucleates assembly of the head domain of the small subunit. {ECO:0000250}.				mitochondrial small ribosomal subunit [GO:0005763]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
RT13_DAUCA	P23209	RT13_DAUCA	Ribosomal protein S13, mitochondrial	RPS13	Daucus carota (Wild carrot)	116	FUNCTION: Located at the top of the head of the small subunit, it contacts several helices of the 18S rRNA. {ECO:0000250}.				mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
S61G1_ARATH	P0DI74	S61G1_ARATH	Protein transport protein Sec61 subunit gamma-1	SEC61G1 At4g24920 F13M23.60	Arabidopsis thaliana (Mouse-ear cress)	69	FUNCTION: Necessary for protein translocation in the endoplasmic reticulum. {ECO:0000250}.				Ssh1 translocon complex [GO:0071261]; protein transmembrane transporter activity [GO:0008320]; post-translational protein targeting to membrane, translocation [GO:0031204]
SDHB2_ARATH	Q8LB02	SDHB2_ARATH	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	SDH2-2 At5g40650 MNF13.170 MNF13.21	Arabidopsis thaliana (Mouse-ear cress)	280	FUNCTION: Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q). {ECO:0000250}.	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; fumarate from succinate (eukaryal route): step 1/1. {ECO:0000305}.	DEVELOPMENTAL STAGE: Expressed in floral meristems and sex organ primordia at early stages of development. Later expressed in anthers, particularly in the tapetum, pollen mother cells, and microspores. {ECO:0000269|PubMed:15563621}.	TISSUE SPECIFICITY: Ubiquitous. Preferentially expressed in flowers, inflorescences and root tips. {ECO:0000269|PubMed:11442063, ECO:0000269|PubMed:15563621}.	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749]; mitochondrion [GO:0005739]; plastid [GO:0009536]; respiratory chain complex II [GO:0045273]; succinate dehydrogenase complex [GO:0045281]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; fumarate reductase (menaquinone) [GO:0102040]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]; zinc ion binding [GO:0008270]; aerobic respiration [GO:0009060]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; respiratory electron transport chain [GO:0022904]; tricarboxylic acid cycle [GO:0006099]
SODC2_OLEEU	Q8L5E0	SODC2_OLEEU	Superoxide dismutase [Cu-Zn] 2 (EC 1.15.1.1) (Allergen Ole e V) (allergen Ole e 5)	OLE5 O5	Olea europaea (Common olive)	152	FUNCTION: Destroys radicals which are normally produced within the cells and which are toxic to biological systems. Probably involved in the protection against oxidative stress during pollen development. {ECO:0000269|PubMed:15785077, ECO:0000269|Ref.4}.			TISSUE SPECIFICITY: Expressed in fruits, leaves and pollen grains. {ECO:0000269|PubMed:16766574, ECO:0000269|PubMed:21995844, ECO:0000269|Ref.4}.	endoplasmic reticulum [GO:0005783]; copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]
SODC4_MAIZE	P23345	SODC4_MAIZE	Superoxide dismutase [Cu-Zn] 4A (EC 1.15.1.1)	SODCC.3 SOD4A	Zea mays (Maize)	152	FUNCTION: Destroys radicals which are normally produced within the cells and which are toxic to biological systems.				cytoplasm [GO:0005737]; copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; removal of superoxide radicals [GO:0019430]
STAD_RICCO	P22337	STAD_RICCO	Stearoyl-[acyl-carrier-protein] 9-desaturase, chloroplastic (Stearoyl-ACP desaturase) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase) (Delta(9) stearoyl-acyl carrier protein desaturase)		Ricinus communis (Castor bean)	396	FUNCTION: Converts stearoyl-ACP to oleoyl-ACP by introduction of a cis double bond between carbons 9 and 10 of the acyl chain. {ECO:0000269|PubMed:17088542, ECO:0000269|PubMed:21930947}.	PATHWAY: Lipid metabolism; fatty acid metabolism.		TISSUE SPECIFICITY: Higher levels in developing seeds than in leaf and root tissues.	chloroplast [GO:0009507]; acyl-[acyl-carrier-protein] desaturase activity [GO:0045300]; metal ion binding [GO:0046872]; stearoyl-[acp] desaturase activity [GO:0102786]; fatty acid biosynthetic process [GO:0006633]
SUI1_SALBA	O48650	SUI1_SALBA	Protein translation factor SUI1 homolog		Salix bakko (Japanese willow)	113	FUNCTION: Probably involved in translation.				translation initiation factor activity [GO:0003743]
SUT_SPIOL	Q03411	SUT_SPIOL	Sucrose transport protein (Sucrose permease) (Sucrose-proton symporter)		Spinacia oleracea (Spinach)	525	FUNCTION: Responsible for the transport of sucrose into the cell, with the concomitant uptake of protons (symport system). Can also transport maltose at a lesser rate.	PATHWAY: Glycan biosynthesis; sucrose metabolism.			plasma membrane [GO:0005886]; sucrose transmembrane transporter activity [GO:0008515]; symporter activity [GO:0015293]; sucrose metabolic process [GO:0005985]
TBB2_MAIZE	P18026	TBB2_MAIZE	Tubulin beta-2 chain (Beta-2-tubulin)	TUBB2 TUB2	Zea mays (Maize)	444	FUNCTION: Tubulin is the major constituent of microtubules, a cylinder consisting of laterally associated linear protofilaments composed of alpha- and beta-tubulin heterodimers. Microtubules grow by the addition of GTP-tubulin dimers to the microtubule end, where a stabilizing cap forms. Below the cap, tubulin dimers are in GDP-bound state, owing to GTPase activity of alpha-tubulin.				cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]
TPIS_PETHY	P48495	TPIS_PETHY	Triosephosphate isomerase, cytosolic (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)	TPIP1	Petunia hybrida (Petunia)	254		PATHWAY: Carbohydrate biosynthesis; gluconeogenesis.; PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate from glycerone phosphate: step 1/1.			cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
UBC10_ARATH	P35133	UBC10_ARATH	Ubiquitin-conjugating enzyme E2 10 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 10) (Ubiquitin carrier protein 10/12) (Ubiquitin-conjugating enzyme E2-17 kDa 10/12) (Ubiquitin-protein ligase 10/12)	UBC10 UBC12 At5g53300 K19E1.10	Arabidopsis thaliana (Mouse-ear cress)	148	FUNCTION: Accepts the ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. Mediates the selective degradation of short-lived and abnormal proteins. {ECO:0000269|PubMed:16339806}.	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000255|PROSITE-ProRule:PRU00388}.		TISSUE SPECIFICITY: Ubiquitously expressed with the highest levels in rosette leaves, roots and petals. {ECO:0000269|PubMed:16339806}.	nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]
UBC28_ARATH	Q94F47	UBC28_ARATH	Ubiquitin-conjugating enzyme E2 28 (EC 2.3.2.23) (AtUBC9A) (E2 ubiquitin-conjugating enzyme 28) (Ubiquitin carrier protein 28)	UBC28 At1g64230 F22C12.2	Arabidopsis thaliana (Mouse-ear cress)	148	FUNCTION: Accepts the ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins.	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000255|PROSITE-ProRule:PRU00388}.		TISSUE SPECIFICITY: Expressed in seeds, pistils, siliques, hypocotyls and leaves. {ECO:0000269|PubMed:16339806}.	nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; protein polyubiquitination [GO:0000209]
UBC4_SOLLC	P35135	UBC4_SOLLC	Ubiquitin-conjugating enzyme E2-17 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)		Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	148	FUNCTION: Catalyzes the covalent attachment of ubiquitin to other proteins. Mediates the selective degradation of short-lived and abnormal proteins. {ECO:0000255|PROSITE-ProRule:PRU00388}.	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000255|PROSITE-ProRule:PRU00388}.			nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; protein polyubiquitination [GO:0000209]
UBC9_ARATH	P35132	UBC9_ARATH	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (UBCAT4B) (Ubiquitin carrier protein 9) (Ubiquitin-conjugating enzyme E2 9) (Ubiquitin-conjugating enzyme E2-17 kDa) (Ubiquitin-protein ligase 9)	UBC9 UBC4B At4g27960 T13J8.70	Arabidopsis thaliana (Mouse-ear cress)	148	FUNCTION: Accepts the ubiquitin-like protein SUMO/SMT3 from the E1 complex and catalyzes its covalent attachment to other proteins. Mediates the selective degradation of short-lived and abnormal proteins.	PATHWAY: Protein modification; protein sumoylation.	DEVELOPMENTAL STAGE: Up-regulated during senescence, but not during the G0 to S phase transition. {ECO:0000269|PubMed:8078482}.	TISSUE SPECIFICITY: Highest expression in young stems and old leaves. Lowest levels in floral buds, anthers and young leaves. {ECO:0000269|PubMed:16339806}.	nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; protein polyubiquitination [GO:0000209]; protein sumoylation [GO:0016925]
UBI1P_PETCR	P0CH04	UBI1P_PETCR	Polyubiquitin [Cleaved into: Ubiquitin]	PCUBI4-1	Petroselinum crispum (Parsley) (Petroselinum hortense)	458	FUNCTION: Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-48-linked is involved in protein degradation via the proteasome. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling (By similarity). {ECO:0000250}.				cytoplasm [GO:0005737]; nucleus [GO:0005634]; mRNA binding [GO:0003729]
UBIQ_AVESA	P69310	UBIQ_AVESA	Ubiquitin		Avena sativa (Oat)	76	FUNCTION: Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-48-linked is involved in protein degradation via the proteasome. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling (By similarity). {ECO:0000250}.				cytoplasm [GO:0005737]; nucleus [GO:0005634]; mRNA binding [GO:0003729]
