From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
NUDT8_ARATH	Q8L7W2	NUDT8_ARATH	Nudix hydrolase 8 (AtNUDT8) (EC 3.6.1.-)	NUDT8 NUDX8 At5g47240 MQL5.10	Arabidopsis thaliana (Mouse-ear cress)	369	FUNCTION: Probably mediates the hydrolysis of some nucleoside diphosphate derivatives (By similarity). May be involved in plant immunity and act as a positive regulator of defense response through salicylic acid (SA) signaling (PubMed:25436909). {ECO:0000250, ECO:0000269|PubMed:25436909}.			TISSUE SPECIFICITY: Expressed in roots, stems and, at lower level, leaves. {ECO:0000269|PubMed:15878881}.	cytosol [GO:0005829]; ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NADH pyrophosphatase activity [GO:0035529]; response to wounding [GO:0009611]	GO:0005829; GO:0009611; GO:0035529; GO:0046872; GO:0047631; GO:0051287
OFT20_ARATH	O64884	OFT20_ARATH	O-fucosyltransferase 20 (O-FucT-20) (EC 2.4.1.-) (O-fucosyltransferase family protein)	OFUT20 At2g44500 F4I1.31	Arabidopsis thaliana (Mouse-ear cress)	573	FUNCTION: May play a role in the biosynthesis of matrix polysaccharides and contribute to the biomechanics and development of the plant cell wall. {ECO:0000269|Ref.11}.	PATHWAY: Glycan metabolism. {ECO:0000305}.		TISSUE SPECIFICITY: Highly expressed in shoot apical meristem (SAM) and in young vegetative tissues. {ECO:0000269|Ref.11}.	cytoplasm [GO:0005737]; Golgi membrane [GO:0000139]; glycosyltransferase activity [GO:0016757]; cell wall organization [GO:0071555]; fucose metabolic process [GO:0006004]	GO:0000139; GO:0005737; GO:0006004; GO:0016757; GO:0071555
HMDH1_HEVBR	P29057	HMDH1_HEVBR	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	HMGR1	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	575	FUNCTION: Catalyzes the synthesis of mevalonate. The specific precursor of all isoprenoid compounds present in plants.	PATHWAY: Metabolic intermediate biosynthesis; (R)-mevalonate biosynthesis; (R)-mevalonate from acetyl-CoA: step 3/3.			endoplasmic reticulum membrane [GO:0005789]; mitochondrial membrane [GO:0031966]; plastid membrane [GO:0042170]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]	GO:0004420; GO:0005789; GO:0008299; GO:0015936; GO:0031966; GO:0042170
HMGR1_PANGI	A0A0A1C3I2	HMGR1_PANGI	3-hydroxy-3-methylglutaryl coenzyme A reductase 1 (HMG-CoA reductase 1) (Hydroxymethylglutaryl-CoA reductase) (PgHMGR1) (EC 1.1.1.34)	HMGR1 HMGR	Panax ginseng (Korean ginseng)	573	FUNCTION: Catalyzes the synthesis of mevalonate, the specific precursor of all isoprenoid compounds present in plants (By similarity). Component of the triterpene saponins (e.g. ginsenosides or panaxosides) and phytosterols biosynthetic pathways (PubMed:24569845, PubMed:29378087). Promotes triterpenes accumulation in roots (PubMed:24569845). {ECO:0000250|UniProtKB:P14891, ECO:0000269|PubMed:24569845, ECO:0000303|PubMed:29378087}.	PATHWAY: Metabolic intermediate biosynthesis; (R)-mevalonate biosynthesis; (R)-mevalonate from acetyl-CoA: step 3/3. {ECO:0000305}.	DEVELOPMENTAL STAGE: Relatively constant levels in mature roots (PubMed:24569845). Rapid decrease in roots and leaves from the leaf opened to the green fruit stage (PubMed:30577538). At the leaf opened stage, accumulates mostly in roots (PubMed:30577538). {ECO:0000269|PubMed:24569845, ECO:0000269|PubMed:30577538}.	TISSUE SPECIFICITY: Mostly expressed in the petioles of seedlings and roots (both in main roots and lateral roots), and, to a lower extent, in seeds, seedlings, leaves, stems and flowers. {ECO:0000269|PubMed:24569845, ECO:0000269|PubMed:30577538}.	chloroplast membrane [GO:0031969]; endoplasmic reticulum membrane [GO:0005789]; peroxisomal membrane [GO:0005778]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]; response to absence of light [GO:0009646]; response to jasmonic acid [GO:0009753]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]	GO:0004420; GO:0005778; GO:0005789; GO:0009646; GO:0009753; GO:0015936; GO:0016104; GO:0016135; GO:0031969
CIPKE_ARATH	Q9LZW4	CIPKE_ARATH	CBL-interacting serine/threonine-protein kinase 14 (EC 2.7.11.1) (SNF1-related kinase 3.15) (SOS2-like protein kinase PKS24) (Serine/threonine-protein kinase SR1) (AtSR1)	CIPK14 PKS24 SnRK3.15 SR1 At5g01820 T20L15.90	Arabidopsis thaliana (Mouse-ear cress)	442	FUNCTION: CIPK serine-threonine protein kinases interact with CBL proteins. Binding of a CBL protein to the regulatory NAF domain of CIPK protein lead to the activation of the kinase in a calcium-dependent manner (By similarity). {ECO:0000250}.		DEVELOPMENTAL STAGE: First observed in imbibed seeds. Mostly localized in hypocotyls during germination and in seedlings. In mature plants, confined to vascular tissues of leaves and roots. In flowers, expressed in the vascular bundle of the stamen filament and in the stigma, where the filament joins the pistil. {ECO:0000269|PubMed:15665497}.	TISSUE SPECIFICITY: Predominant in roots, cauline leaves, and flowers (PubMed:11577192). Ubiquitous with highest expression in 7-day-old seedlings and flower buds, followed by that in cauline leaves and young siliques (PubMed:25058458). {ECO:0000269|PubMed:11577192, ECO:0000269|PubMed:25058458}.	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plant-type vacuole [GO:0000325]; plasmodesma [GO:0009506]; ATP binding [GO:0005524]; kinase binding [GO:0019900]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]; response to abscisic acid [GO:0009737]; response to cold [GO:0009409]; response to glucose [GO:0009749]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]; signal transduction [GO:0007165]	GO:0000325; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006979; GO:0007165; GO:0009408; GO:0009409; GO:0009414; GO:0009506; GO:0009651; GO:0009737; GO:0009749; GO:0019900; GO:0106310
BRT1_ARATH	Q9SUV1	BRT1_ARATH	Adenine nucleotide transporter BT1, chloroplastic/mitochondrial (Protein BRITTLE 1 homolog) (AtBT1) (Protein EMBRYO DEFECTIVE 104) (Protein EMBRYO DEFECTIVE 42) (Protein SODIUM HYPERSENSITIVE 1)	BT1 EMB104 EMB42 SHS1 At4g32400 F8B4.100	Arabidopsis thaliana (Mouse-ear cress)	392	FUNCTION: Probable mitochondrial adenylate carrier that catalyzes the transport of ATP, ADP and AMP, but not ADP-glucose. Recombinant BT1 shows a unidirectional mode of transport in intact E.coli cells. May function as a plastidial nucleotide uniport carrier required to export newly synthesized adenylates into the cytosol. May be involved in abiotic stress response. {ECO:0000269|PubMed:17701277, ECO:0000269|PubMed:18564385, ECO:0000269|PubMed:21883554}.			TISSUE SPECIFICITY: Expressed in root tips, the central cylinder of young roots, and maturating and germinating pollen. {ECO:0000269|PubMed:18564385}.	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast inner membrane [GO:0009706]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; plastid [GO:0009536]; transmembrane transport [GO:0055085]	GO:0005739; GO:0005743; GO:0005886; GO:0009507; GO:0009536; GO:0009706; GO:0009941; GO:0055085
SAP4_ARATH	Q9SJM6	SAP4_ARATH	Zinc finger A20 and AN1 domain-containing stress-associated protein 4 (AtSAP4)	SAP4 At2g36320 F2H17.7	Arabidopsis thaliana (Mouse-ear cress)	161	FUNCTION: May be involved in environmental stress response. {ECO:0000250}.				DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	GO:0003677; GO:0008270
SPD1_ARATH	F4J3R7	SPD1_ARATH	Protein SEEDLING PLASTID DEVELOPMENT 1	SPD1 At3g10420 F13M14.30	Arabidopsis thaliana (Mouse-ear cress)	684	FUNCTION: Required during eoplast (a highly reduced plastid type present during the degreening and dehydration stages of seed maturation) development in embryos and early stages of eoplast redifferentiation during seedling growth. {ECO:0000269|PubMed:21045120}.				chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast intermembrane space [GO:0031972]; chloroplast membrane [GO:0031969]; ATP binding [GO:0005524]; plastid organization [GO:0009657]; reversible differentiation [GO:0090677]; seed maturation [GO:0010431]	GO:0005524; GO:0009507; GO:0009657; GO:0009941; GO:0010431; GO:0031969; GO:0031972; GO:0090677
GH31_ARATH	O82333	GH31_ARATH	Probable indole-3-acetic acid-amido synthetase GH3.1 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 1) (AtGH3-1)	GH3.1 At2g14960 T26I20.12	Arabidopsis thaliana (Mouse-ear cress)	590	FUNCTION: Catalyzes the synthesis of indole-3-acetic acid (IAA)-amino acid conjugates, providing a mechanism for the plant to cope with the presence of excess auxin. {ECO:0000269|PubMed:15659623}.				cytoplasm [GO:0005737]; acid-amino acid ligase activity [GO:0016881]; response to auxin [GO:0009733]	GO:0005737; GO:0009733; GO:0016881
OTU12_ARATH	Q9SGA5	OTU12_ARATH	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 12 (OTU domain-containing protein 12) (EC 3.4.19.12) (Deubiquitinating enzyme OTU12)	OTU12 At3g02070 F1C9.14	Arabidopsis thaliana (Mouse-ear cress)	219	FUNCTION: Hydrolase that can remove conjugated ubiquitin from proteins in vitro and may therefore play an important regulatory role at the level of protein turnover by preventing degradation (Probable). Inactive cysteine protease (PubMed:24659992). {ECO:0000269|PubMed:24659992, ECO:0000305|PubMed:24659992}.				cysteine-type deubiquitinase activity [GO:0004843]; protein deubiquitination [GO:0016579]	GO:0004843; GO:0016579
OTU9_ARATH	Q8LBW2	OTU9_ARATH	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 9 (OTU domain-containing protein 9) (EC 3.4.19.12) (Deubiquitinating enzyme OTU9)	OTU9 At5g04250 F21E1.170 T19N18.9	Arabidopsis thaliana (Mouse-ear cress)	345	FUNCTION: Hydrolase that can remove conjugated ubiquitin from proteins in vitro and may therefore play an important regulatory role at the level of protein turnover by preventing degradation (Probable). Cysteine protease with a preference for 'Lys-63' and 'Lys-48' -linked ubiquitin (UB) tetramers as substrates (PubMed:24659992). Cleaves also RUB-GST fusion (PubMed:24659992). {ECO:0000269|PubMed:24659992, ECO:0000305|PubMed:24659992}.				cysteine-type deubiquitinase activity [GO:0004843]; protein deubiquitination [GO:0016579]	GO:0004843; GO:0016579
PLT5_ARATH	Q8VZ80	PLT5_ARATH	Polyol transporter 5 (Protein POLYOL TRANSPORTER 5) (AtPLT5) (Sugar-proton symporter PLT5)	PLT5 At3g18830 MVE11.10 MVE11.22	Arabidopsis thaliana (Mouse-ear cress)	539	FUNCTION: Plasma membrane broad-spectrum sugar-proton symporter. Mediates the uptake of linear polyols such as sorbitol, xylitol, erythritol or glycerol. Can transport the cyclic polyol myo-inositol and different hexoses, pentoses (including ribose), tetroses and sugar alcohols. {ECO:0000269|PubMed:15525644, ECO:0000269|PubMed:15598803}.			TISSUE SPECIFICITY: Highly expressed in roots. Expressed in vascular tissue of leaves, sepals and siliques. {ECO:0000269|PubMed:15525644, ECO:0000269|PubMed:15598803}.	plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; D-ribose transmembrane transporter activity [GO:0015591]; D-xylose transmembrane transporter activity [GO:0015148]; galactose transmembrane transporter activity [GO:0005354]; glucose transmembrane transporter activity [GO:0005355]; glycerol transmembrane transporter activity [GO:0015168]; mannitol transmembrane transporter activity [GO:0015575]; monosaccharide transmembrane transporter activity [GO:0015145]; myo-inositol transmembrane transporter activity [GO:0005365]; sorbitol transmembrane transporter activity [GO:0015576]; lateral root formation [GO:0010311]	GO:0005351; GO:0005354; GO:0005355; GO:0005365; GO:0005886; GO:0010311; GO:0015145; GO:0015148; GO:0015168; GO:0015575; GO:0015576; GO:0015591
AB1K1_ARATH	Q8RWG1	AB1K1_ARATH	Protein ACTIVITY OF BC1 COMPLEX KINASE 1, chloroplastic (ABC1-LIKE KINASE 1) (EC 2.7.-.-) (EC 2.7.11.1) (Protein ABC1-LIKE KINASE RELATED TO CHLOROPHYLL DEGRADATION AND OXIDATIVE STRESS 1) (AtACDO1) (Protein BLEACHING AND DWARF IN RED LIGHT 1) (Protein PROTON GRADIENT REGULATION 6)	ABC1K1 ACDO1 BDR1 PGR6 At4g31390 F3L17.6	Arabidopsis thaliana (Mouse-ear cress)	682	FUNCTION: Kinase that can phosphorylate the tocopherol cyclase VTE1, a key enzyme of tocopherol (vitamin E) metabolism and involved in the recycling of oxidated alpha-tocopherol quinone, possibly stabilizing it at plastoglobules. Regulates also plastoglobule protein composition (PubMed:24267661). Prevents photodamage of chloroplasts under continuous red light, thus working in opposition to ABC1K3 (PubMed:25882344). Together with ABC1K1, contributes to plastoglobule (PG) function in prenyl-lipid metabolism, stress response, and thylakoid remodeling (PubMed:23673981, PubMed:24267661). Involved in chlorophyll degradation and in the maintenance of the number of chlorophyll-binding photosynthetic thylakoid membranes (PubMed:22447966). Ensures photosynthetic electron transport by regulating the homeostasis of plastoquinone, beta-carotene and xanthophyll lutein, as well as membrane antioxidant tocopherol metabolism (PubMed:24267661). Seems to affect specifically stability or turnover of D1 protein, product of psbA, one of the four core subunits of the photosystem II (PSII) (PubMed:25882344). Required for photooxidative stress responses, including the induction of oxidative stress response genes (e.g. FSD1, CSD1, CAT1, and UTG71C1), to prevent photosystem II core and chlorophyll degradations (PubMed:22447966, PubMed:23673981, PubMed:24267661). {ECO:0000269|PubMed:22447966, ECO:0000269|PubMed:23673981, ECO:0000269|PubMed:24267661, ECO:0000269|PubMed:25882344}.			TISSUE SPECIFICITY: Expressed in all tissues (e.g. especially in leaves) at all developmental stages from seed germination to flowering, except in the root tips. {ECO:0000269|PubMed:22447966}.	chloroplast [GO:0009507]; plasma membrane [GO:0005886]; plastoglobule [GO:0010287]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cellular response to nitrogen starvation [GO:0006995]; chlorophyll catabolic process [GO:0015996]; photosynthetic electron transport chain [GO:0009767]; plastoglobule organization [GO:0080177]; positive regulation of carotenoid biosynthetic process [GO:1904143]; positive regulation of chlorophyll biosynthetic process [GO:1902326]; protein phosphorylation [GO:0006468]; regulation of anthocyanin biosynthetic process [GO:0031540]; regulation of photosynthesis [GO:0010109]; regulation of tocopherol cyclase activity [GO:1902171]; response to blue light [GO:0009637]; response to paraquat [GO:1901562]; response to photooxidative stress [GO:0080183]; response to red light [GO:0010114]; response to water deprivation [GO:0009414]; thylakoid membrane organization [GO:0010027]	GO:0004672; GO:0004674; GO:0005524; GO:0005886; GO:0006468; GO:0006995; GO:0009414; GO:0009507; GO:0009637; GO:0009767; GO:0010027; GO:0010109; GO:0010114; GO:0010287; GO:0015996; GO:0031540; GO:0080177; GO:0080183; GO:0106310; GO:1901562; GO:1902171; GO:1902326; GO:1904143
STOX_BERWI	F1BVB6	STOX_BERWI	Tetrahydroberberine oxidase (THB oxidase) (EC 1.3.3.8) ((S)-tetrahydroprotoberberine oxidase) (BwSTOX)		Berberis wilsoniae (Mrs Wilson's barberry)	530	FUNCTION: Catalyzes the oxidation of different tetrahydroprotoberberines, such as (S)-canadine, (S)-scoulerine and (S)-corypalmine (PubMed:3402447). Catalyzes the oxidation of (S)-coreximine and (S)-tetrahydropalmatine (PubMed:3402447, PubMed:21327819). Catalyzes the oxidation of different 1-benzylisoquinoline alkaloids, such as (S)-norreticuline, (S)-nororientaline, (S)-coclaurine and (S)-norisoorientaline (PubMed:3402447). Exhibits strict specificity for the (S)-enantiomer of tetrahydroprotoberbirines and 1-benzylisoquinoline alkaloids (PubMed:3402447). {ECO:0000269|PubMed:21327819, ECO:0000269|PubMed:3402447}.				FAD binding [GO:0071949]; tetrahydroberberine oxidase activity [GO:0050328]	GO:0050328; GO:0071949
P2C55_ARATH	Q9SUK9	P2C55_ARATH	Probable protein phosphatase 2C 55 (AtPP2C55) (EC 3.1.3.16)	At4g16580 dl4315c FCAALL.400	Arabidopsis thaliana (Mouse-ear cress)	467					metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]; protein dephosphorylation [GO:0006470]	GO:0004722; GO:0006470; GO:0017018; GO:0046872
Y3028_ARATH	Q9SND9	Y3028_ARATH	Uncharacterized acetyltransferase At3g50280 (EC 2.3.1.-)	At3g50280 F11C1.120	Arabidopsis thaliana (Mouse-ear cress)	443					acyltransferase activity [GO:0016746]	GO:0016746
SSY2_SOLTU	Q43847	SSY2_SOLTU	Granule-bound starch synthase 2, chloroplastic/amyloplastic (EC 2.4.1.21) (Granule-bound starch synthase II) (GBSS-II) (SS II)	SS2 SSII	Solanum tuberosum (Potato)	767	FUNCTION: Accounts for only 10 to 15% of the total soluble starch synthase activity in tubers. {ECO:0000269|PubMed:10420646}.	PATHWAY: Glycan biosynthesis; starch biosynthesis.			amyloplast [GO:0009501]; chloroplast [GO:0009507]; alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]; starch biosynthetic process [GO:0019252]	GO:0004373; GO:0009011; GO:0009501; GO:0009507; GO:0019252; GO:0033201
DGDG2_LOTJA	Q6DW73	DGDG2_LOTJA	Digalactosyldiacylglycerol synthase 2, chloroplastic (EC 2.4.1.241)	DGD2	Lotus japonicus (Lotus corniculatus var. japonicus)	463	FUNCTION: Involved in the synthesis of diacylglycerol galactolipids that are specifically found in thylakoid membranes. Specific for alpha-glycosidic linkages. {ECO:0000269|PubMed:15159398}.			TISSUE SPECIFICITY: High expression in nodules infected cells, and low in nodule and root vascular tissue. {ECO:0000269|PubMed:15159398}.	chloroplast outer membrane [GO:0009707]; peribacteroid membrane [GO:0043661]; digalactosyldiacylglycerol synthase activity [GO:0046481]; nodulation [GO:0009877]	GO:0009707; GO:0009877; GO:0043661; GO:0046481
FTSH2_ORYSJ	Q655S1	FTSH2_ORYSJ	ATP-dependent zinc metalloprotease FTSH 2, chloroplastic (OsFTSH2) (EC 3.4.24.-)	FTSH2 Os06g0669400 LOC_Os06g45820 OsJ_021445 P0686E06.31-1 P0686E06.31-2	Oryza sativa subsp. japonica (Rice)	676	FUNCTION: Probable ATP-dependent zinc metallopeptidase. {ECO:0000250}.				chloroplast thylakoid [GO:0009534]; chloroplast thylakoid membrane [GO:0009535]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; proteolysis [GO:0006508]	GO:0004176; GO:0004222; GO:0005524; GO:0006508; GO:0009534; GO:0009535; GO:0016887; GO:0046872
ASOL_BRANA	Q00624	ASOL_BRANA	L-ascorbate oxidase homolog (EC 1.10.3.-)	Bp10	Brassica napus (Rape)	555	FUNCTION: Probable oxidase that may be involved in pollen tube growth. {ECO:0000250}.			TISSUE SPECIFICITY: Maximal expression in early binucleate microspores; declines considerably in mature trinucleate pollen. {ECO:0000269|PubMed:1303799}.	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	GO:0005507; GO:0005576; GO:0016491
VIL2_ARATH	Q9SUM4	VIL2_ARATH	VIN3-like protein 2 (Vernalization5/VIN3-like protein 1)	VIL2 VEL1 At4g30200 F9N11.50	Arabidopsis thaliana (Mouse-ear cress)	714	FUNCTION: Maybe involved in both the vernalization and photoperiod pathways by regulating gene expression. Binds preferentially to dimethylated histone H3 'Lys-9' (H3K9me2). Promotes flowering in non-inductive photoperiods (e.g. short days) through the maintenance of the epigenetically repressed state of MAF5 via H3K9me2 and plant homeodomain / polycomb repressive complex 2 (PHD-PRC2)-dependent H3K27me3. {ECO:0000269|PubMed:20837520}.				chromatin silencing complex [GO:0005677]; PcG protein complex [GO:0031519]; plasmodesma [GO:0009506]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; circadian regulation of gene expression [GO:0032922]; epigenetic regulation of gene expression [GO:0040029]; flower development [GO:0009908]; positive regulation of histone H3-K9 dimethylation [GO:1900111]; regulation of short-day photoperiodism, flowering [GO:0048587]; response to cold [GO:0009409]; vegetative to reproductive phase transition of meristem [GO:0010228]; vernalization response [GO:0010048]	GO:0003677; GO:0005677; GO:0009409; GO:0009506; GO:0009908; GO:0010048; GO:0010228; GO:0031519; GO:0032922; GO:0035064; GO:0040029; GO:0042802; GO:0046872; GO:0048587; GO:1900111
RBL3_ARATH	Q9LYP1	RBL3_ARATH	RHOMBOID-like protein 3 (AtRBL3) (EC 3.4.21.-)	RBL3 At5g07250 T28J14.190	Arabidopsis thaliana (Mouse-ear cress)	346	FUNCTION: Probable rhomboid-type serine protease that catalyzes intramembrane proteolysis. {ECO:0000303|PubMed:22007993}.				Golgi membrane [GO:0000139]; plasmodesma [GO:0009506]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0000139; GO:0004252; GO:0006508; GO:0009506
RGSL1_ARATH	F4ITM1	RGSL1_ARATH	E3 ubiquitin-protein ligase RSL1 (EC 2.3.2.31) (Protein RING FINGER OF SEED LONGEVITY 1) (RING-type E3 ubiquitin transferase RSL1)	RSL1 At2g26130 T19L18.6	Arabidopsis thaliana (Mouse-ear cress)	398	FUNCTION: Acts as an E3 ubiquitin-protein ligase, or as part of E3 complex, which accepts ubiquitin from specific E2 ubiquitin-conjugating enzymes and then transfers it to substrates (PubMed:24388521). Negative regulator of the abscisic acid (ABA) signaling pathway which targets PYL4 and PYR1 ABA receptors in plasma membrane to promote their FREE1/FYVE1-dependent trafficking and degradation upon ubiquitynation; this process involves clathrin-mediated endocytosis and trafficking through the ESCRT pathway (PubMed:25330042, PubMed:27495812). Involved in the maintenance of seed longevity (PubMed:24388521). May enhance gibberellins responses (PubMed:24388521). {ECO:0000269|PubMed:24388521, ECO:0000269|PubMed:25330042, ECO:0000269|PubMed:27495812}.	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000305}.			cytoplasm [GO:0005737]; plant-type vacuole membrane [GO:0009705]; plasma membrane [GO:0005886]; ubiquitin ligase complex [GO:0000151]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; abscisic acid-activated signaling pathway [GO:0009738]; acquisition of seed longevity [GO:0140547]; gibberellic acid mediated signaling pathway [GO:0009740]; gibberellin mediated signaling pathway [GO:0010476]; negative regulation of abscisic acid-activated signaling pathway [GO:0009788]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; seed maturation [GO:0010431]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000151; GO:0000209; GO:0003676; GO:0004523; GO:0005737; GO:0005886; GO:0006511; GO:0009705; GO:0009738; GO:0009740; GO:0009788; GO:0010431; GO:0010476; GO:0031624; GO:0032436; GO:0046872; GO:0061630; GO:0140547
ROH1_ARATH	Q9CAK4	ROH1_ARATH	Protein ROH1	ROH1 At1g63930 T12P18.5	Arabidopsis thaliana (Mouse-ear cress)	415	FUNCTION: Required for seed coat mucilage deposition. {ECO:0000269|PubMed:20618910}.			TISSUE SPECIFICITY: Mainly expressed in cells expanding in a polar manner such as pollen and root hairs. {ECO:0000269|PubMed:20618910}.	membrane [GO:0016020]; mucilage biosynthetic process involved in seed coat development [GO:0048354]; seed coat development [GO:0010214]	GO:0010214; GO:0016020; GO:0048354
CDPKG_ARATH	Q7XJR9	CDPKG_ARATH	Calcium-dependent protein kinase 16 (EC 2.7.11.1)	CPK16 At2g17890 T13L16.9	Arabidopsis thaliana (Mouse-ear cress)	571	FUNCTION: May play a role in signal transduction pathways that involve calcium as a second messenger.				cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; response to calcium ion [GO:0051592]	GO:0004672; GO:0004683; GO:0005509; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0009931; GO:0018105; GO:0035556; GO:0046777; GO:0051592; GO:0106310
CDPKI_ORYSJ	Q0D715	CDPKI_ORYSJ	Calcium-dependent protein kinase 18 (OsCDPK18) (OsCPK18) (EC 2.7.11.1) (OsCDPK5)	CPK18 CDPK5 Os07g0409900 LOC_Os07g22710 OsJ_23937	Oryza sativa subsp. japonica (Rice)	512	FUNCTION: May play a role in signal transduction pathways that involve calcium as a second messenger (By similarity). Functions upstream of MPK5 in a signaling pathway that represses defense gene expression and negatively regulates resistance to rice blast fungus. Phosphorylates MPK5 at Thr-14 and Thr-32 and activates MPK5 independently of MAP kinase kinase (MKK) phosphorylation (PubMed:25035404). May be involved in arbuscular mycorrhizal presymbiotic phase signaling (PubMed:21595879). Phosphorylates the elicitor-responsive protein ERG1 in vitro. Phosphorylation is calcium-dependent (PubMed:23456295). {ECO:0000250|UniProtKB:Q06850, ECO:0000269|PubMed:21595879, ECO:0000269|PubMed:23456295, ECO:0000269|PubMed:25035404}.				cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-dependent protein kinase activity [GO:0010857]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; protein serine kinase activity [GO:0106310]; defense response to fungus [GO:0050832]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]	GO:0004683; GO:0005509; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0009931; GO:0010857; GO:0018105; GO:0035556; GO:0046777; GO:0050832; GO:0106310
